Possibility,BeginActor,FacingActor,EndActor,IntermediateStops,Question,Answer,Options
217,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,,"You are a robot beginning at the couch facing the plant. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the table. You have reached the final destination.",A,"['A. Turn Back', 'B. Turn Right', 'C. Turn Left']"
218,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,,"You are a robot beginning at the sidetable facing the backpack. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. You have reached the final destination.",B,"['A. Turn Right', 'B. Turn Back', 'C. Turn Left']"
219,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the sidetable facing the backpack. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the heater. You have reached the final destination.",B,"['A. Turn Back, Turn Right', 'B. Turn Right, Turn Right', 'C. Turn Back, Turn Left', 'D. Turn Left, Turn Back']"
220,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,,"You are a robot beginning at the sidetable facing the bed. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. You have reached the final destination.",C,"['A. Turn Back', 'B. Turn Right', 'C. Turn Left']"
221,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the sidetable facing the bed. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the heater. You have reached the final destination.",C,"['A. Turn Back, Turn Left', 'B. Turn Left, Turn Back', 'C. Turn Back, Turn Right', 'D. Turn Right, Turn Left']"
222,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_005V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,,"You are a robot beginning at the sidetable facing the sidetable. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. You have reached the final destination.",C,"['A. Turn Right', 'B. Turn Left', 'C. Turn Back']"
223,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_005V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the sidetable facing the sidetable. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the heater. You have reached the final destination.",A,"['A. Turn Right, Turn Right', 'B. Turn Back, Turn Right', 'C. Turn Left, Turn Back', 'D. Turn Back, Turn Back']"
224,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,,"You are a robot beginning at the sidetable facing the basket. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. You have reached the final destination.",A,"['A. Turn Back', 'B. Turn Left', 'C. Turn Right']"
225,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the sidetable facing the basket. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the heater. You have reached the final destination.",A,"['A. Turn Back, Turn Right', 'B. Turn Right, Turn Left', 'C. Turn Right, Turn Back', 'D. Turn Left, Turn Left']"
226,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,,"You are a robot beginning at the sidetable facing the crate. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. You have reached the final destination.",B,"['A. Turn Right', 'B. Turn Back', 'C. Turn Left']"
227,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the sidetable facing the crate. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the heater. You have reached the final destination.",D,"['A. Turn Right, Turn Back', 'B. Turn Left, Turn Back', 'C. Turn Back, Turn Back', 'D. Turn Right, Turn Right']"
228,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,,"You are a robot beginning at the sidetable facing the paper bag. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. You have reached the final destination.",C,"['A. Turn Right', 'B. Turn Left', 'C. Turn Back']"
229,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the sidetable facing the paper bag. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the heater. You have reached the final destination.",D,"['A. Turn Back, Turn Left', 'B. Turn Left, Turn Back', 'C. Turn Left, Turn Left', 'D. Turn Right, Turn Right']"
230,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,,"You are a robot beginning at the sidetable facing the plant. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. You have reached the final destination.",A,"['A. Turn Right', 'B. Turn Left', 'C. Turn Back']"
231,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,,"You are a robot beginning at the sidetable facing the couch. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. You have reached the final destination.",B,"['A. Turn Right', 'B. Turn Left', 'C. Turn Back']"
232,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the sidetable facing the couch. You want to navigate to the heater. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the heater. You have reached the final destination.",C,"['A. Turn Back, Turn Left', 'B. Turn Left, Turn Back', 'C. Turn Left, Turn Right', 'D. Turn Right, Turn Back']"
233,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,,"You are a robot beginning at the sidetable facing the backpack. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",A,"['A. Turn Back', 'B. Turn Right', 'C. Turn Left']"
234,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the backpack. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",A,"['A. Turn Back, Turn Right', 'B. Turn Left, Turn Back', 'C. Turn Right, Turn Left', 'D. Turn Left, Turn Right']"
235,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,,"You are a robot beginning at the sidetable facing the bed. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Back', 'B. Turn Right', 'C. Turn Left']"
236,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the bed. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",D,"['A. Turn Right, Turn Left', 'B. Turn Right, Turn Back', 'C. Turn Back, Turn Right', 'D. Turn Left, Turn Right']"
237,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_005V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,,"You are a robot beginning at the sidetable facing the sidetable. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Right', 'B. Turn Back', 'C. Turn Left']"
238,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_005V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the sidetable. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Right, Turn Right', 'B. Turn Back, Turn Right', 'C. Turn Back, Turn Left', 'D. Turn Right, Turn Left']"
239,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,,"You are a robot beginning at the sidetable facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",A,"['A. Turn Left', 'B. Turn Back', 'C. Turn Right']"
240,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Left, Turn Right', 'B. Turn Back, Turn Right', 'C. Turn Right, Turn Back', 'D. Turn Left, Turn Back']"
241,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,,"You are a robot beginning at the sidetable facing the crate. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Right', 'B. Turn Back', 'C. Turn Left']"
242,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the crate. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Left, Turn Back', 'B. Turn Back, Turn Right', 'C. Turn Back, Turn Back', 'D. Turn Right, Turn Right']"
243,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,,"You are a robot beginning at the sidetable facing the paper bag. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Back', 'B. Turn Left', 'C. Turn Right']"
244,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the paper bag. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Left, Turn Left', 'B. Turn Back, Turn Right', 'C. Turn Right, Turn Left', 'D. Turn Right, Turn Back']"
245,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,,"You are a robot beginning at the sidetable facing the plant. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Left', 'B. Turn Back', 'C. Turn Right']"
246,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the plant. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Right, Turn Left', 'B. Turn Back, Turn Right', 'C. Turn Right, Turn Right', 'D. Turn Left, Turn Back']"
247,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,,"You are a robot beginning at the sidetable facing the heater. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Back', 'B. Turn Left', 'C. Turn Right']"
248,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,,"You are a robot beginning at the sidetable facing the backpack. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the table. You have reached the final destination.",C,"['A. Turn Left', 'B. Turn Back', 'C. Turn Right']"
249,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the backpack. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the table. You have reached the final destination.",C,"['A. Turn Back, Turn Right', 'B. Turn Left, Turn Back', 'C. Turn Back, Turn Left', 'D. Turn Left, Turn Right']"
250,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the sidetable facing the backpack. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the plant. 5. [please fill in] 6. Go forward until the table. You have reached the final destination.",C,"['A. Turn Left, Turn Back, Turn Back', 'B. Turn Right, Turn Left, Turn Right', 'C. Turn Back, Turn Back, Turn Right', 'D. Turn Back, Turn Left, Turn Right']"
251,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V","You are a robot beginning at the sidetable facing the backpack. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. 5. [please fill in] 6. Go forward until the table. You have reached the final destination.",B,"['A. Turn Right, Turn Back, Turn Right', 'B. Turn Back, Turn Left, Turn Right', 'C. Turn Right, Turn Right, Turn Right', 'D. Turn Back, Turn Right, Turn Left']"
252,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,,"You are a robot beginning at the sidetable facing the bed. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the table. You have reached the final destination.",A,"['A. Turn Back', 'B. Turn Left', 'C. Turn Right']"
253,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,"You are a robot beginning at the sidetable facing the bed. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the backpack. 3. [please fill in] 4. Go forward until the table. You have reached the final destination.",A,"['A. Turn Right, Turn Right', 'B. Turn Left, Turn Left', 'C. Turn Right, Turn Left', 'D. Turn Right, Turn Back']"
254,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,"You are a robot beginning at the sidetable facing the bed. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the table. You have reached the final destination.",D,"['A. Turn Back, Turn Back', 'B. Turn Right, Turn Back', 'C. Turn Left, Turn Right', 'D. Turn Right, Turn Right']"
255,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the sidetable facing the bed. You want to navigate to the table. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the table. You have reached the final destination.",D,"['A. Turn Right, Turn Left', 'B. Turn Back, Turn Left', 'C. Turn Back, Turn Back', 'D. Turn Left, Turn Left']"
