Possibility,PrimaryObject,OptionObject1,OptionObject2,OptionObject3,OptionObject4,Distance1,Distance2,Distance3,Distance4,Question,Answer,Options
80,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.95,1.71,2.11,"Measuring from the closest point of each object, which of these objects (couch, plant, backpack, or heater) is the closest to the basket?",C,"['A. couch', 'B. plant', 'C. backpack', 'D. heater']"
81,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.93,1.71,2.11,"Measuring from the closest point of each object, which of these objects (backpack, heater, couch, or suitcase) is the closest to the basket?",A,"['A. backpack', 'B. heater', 'C. couch', 'D. suitcase']"
82,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,1.71,2.11,8.32,"Measuring from the closest point of each object, which of these objects (backpack, heater, table, or couch) is the closest to the basket?",A,"['A. backpack', 'B. heater', 'C. table', 'D. couch']"
83,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.95,1.71,8.32,"Measuring from the closest point of each object, which of these objects (table, couch, plant, or backpack) is the closest to the basket?",D,"['A. table', 'B. couch', 'C. plant', 'D. backpack']"
84,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.93,1.71,8.32,"Measuring from the closest point of each object, which of these objects (table, backpack, couch, or suitcase) is the closest to the basket?",B,"['A. table', 'B. backpack', 'C. couch', 'D. suitcase']"
85,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.67,0.95,2.11,"Measuring from the closest point of each object, which of these objects (heater, crate, plant, or backpack) is the closest to the basket?",D,"['A. heater', 'B. crate', 'C. plant', 'D. backpack']"
86,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.67,0.93,2.11,"Measuring from the closest point of each object, which of these objects (suitcase, heater, backpack, or crate) is the closest to the basket?",C,"['A. suitcase', 'B. heater', 'C. backpack', 'D. crate']"
87,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.67,2.11,8.32,"Measuring from the closest point of each object, which of these objects (table, crate, backpack, or heater) is the closest to the basket?",C,"['A. table', 'B. crate', 'C. backpack', 'D. heater']"
88,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.67,0.95,8.32,"Measuring from the closest point of each object, which of these objects (table, crate, backpack, or plant) is the closest to the basket?",C,"['A. table', 'B. crate', 'C. backpack', 'D. plant']"
89,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.67,0.93,8.32,"Measuring from the closest point of each object, which of these objects (table, crate, backpack, or suitcase) is the closest to the basket?",C,"['A. table', 'B. crate', 'C. backpack', 'D. suitcase']"
90,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.95,2.11,8.32,"Measuring from the closest point of each object, which of these objects (backpack, table, plant, or heater) is the closest to the basket?",A,"['A. backpack', 'B. table', 'C. plant', 'D. heater']"
91,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.93,2.11,8.32,"Measuring from the closest point of each object, which of these objects (suitcase, heater, table, or backpack) is the closest to the basket?",D,"['A. suitcase', 'B. heater', 'C. table', 'D. backpack']"
92,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.67,1.71,2.11,"Measuring from the closest point of each object, which of these objects (crate, heater, paper bag, or couch) is the closest to the basket?",C,"['A. crate', 'B. heater', 'C. paper bag', 'D. couch']"
93,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.67,0.95,1.71,2.11,"Measuring from the closest point of each object, which of these objects (heater, plant, crate, or couch) is the closest to the basket?",C,"['A. heater', 'B. plant', 'C. crate', 'D. couch']"
94,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.4,0.67,1.71,2.11,"Measuring from the closest point of each object, which of these objects (crate, heater, couch, or sidetable) is the closest to the basket?",D,"['A. crate', 'B. heater', 'C. couch', 'D. sidetable']"
95,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.67,0.93,1.71,2.11,"Measuring from the closest point of each object, which of these objects (suitcase, crate, heater, or couch) is the closest to the basket?",B,"['A. suitcase', 'B. crate', 'C. heater', 'D. couch']"
96,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.67,1.71,2.11,8.32,"Measuring from the closest point of each object, which of these objects (table, heater, crate, or couch) is the closest to the basket?",C,"['A. table', 'B. heater', 'C. crate', 'D. couch']"
97,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,0.37,0.67,0.95,1.71,"Measuring from the closest point of each object, which of these objects (plant, paper bag, couch, or crate) is the closest to the basket?",B,"['A. plant', 'B. paper bag', 'C. couch', 'D. crate']"
98,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,0.37,0.67,0.93,1.71,"Measuring from the closest point of each object, which of these objects (crate, couch, paper bag, or suitcase) is the closest to the basket?",C,"['A. crate', 'B. couch', 'C. paper bag', 'D. suitcase']"
99,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.67,1.71,8.32,"Measuring from the closest point of each object, which of these objects (couch, paper bag, crate, or table) is the closest to the basket?",B,"['A. couch', 'B. paper bag', 'C. crate', 'D. table']"
100,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,0.4,0.67,0.95,1.71,"Measuring from the closest point of each object, which of these objects (plant, crate, sidetable, or couch) is the closest to the basket?",C,"['A. plant', 'B. crate', 'C. sidetable', 'D. couch']"
101,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.67,0.95,1.71,8.32,"Measuring from the closest point of each object, which of these objects (plant, table, crate, or couch) is the closest to the basket?",C,"['A. plant', 'B. table', 'C. crate', 'D. couch']"
102,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,0.4,0.67,0.93,1.71,"Measuring from the closest point of each object, which of these objects (sidetable, suitcase, crate, or couch) is the closest to the basket?",A,"['A. sidetable', 'B. suitcase', 'C. crate', 'D. couch']"
103,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.4,0.67,1.71,8.32,"Measuring from the closest point of each object, which of these objects (sidetable, table, crate, or couch) is the closest to the basket?",A,"['A. sidetable', 'B. table', 'C. crate', 'D. couch']"
104,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.67,0.93,1.71,8.32,"Measuring from the closest point of each object, which of these objects (table, couch, suitcase, or crate) is the closest to the basket?",D,"['A. table', 'B. couch', 'C. suitcase', 'D. crate']"
105,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.95,1.71,2.11,"Measuring from the closest point of each object, which of these objects (heater, plant, couch, or paper bag) is the closest to the basket?",D,"['A. heater', 'B. plant', 'C. couch', 'D. paper bag']"
106,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.93,1.71,2.11,"Measuring from the closest point of each object, which of these objects (paper bag, couch, suitcase, or heater) is the closest to the basket?",A,"['A. paper bag', 'B. couch', 'C. suitcase', 'D. heater']"
107,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,1.71,2.11,8.32,"Measuring from the closest point of each object, which of these objects (table, couch, paper bag, or heater) is the closest to the basket?",C,"['A. table', 'B. couch', 'C. paper bag', 'D. heater']"
108,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.4,0.95,1.71,2.11,"Measuring from the closest point of each object, which of these objects (couch, plant, heater, or sidetable) is the closest to the basket?",D,"['A. couch', 'B. plant', 'C. heater', 'D. sidetable']"
109,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.95,1.71,2.11,8.32,"Measuring from the closest point of each object, which of these objects (couch, table, heater, or plant) is the closest to the basket?",D,"['A. couch', 'B. table', 'C. heater', 'D. plant']"
110,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.4,0.93,1.71,2.11,"Measuring from the closest point of each object, which of these objects (suitcase, couch, sidetable, or heater) is the closest to the basket?",C,"['A. suitcase', 'B. couch', 'C. sidetable', 'D. heater']"
111,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.4,1.71,2.11,8.32,"Measuring from the closest point of each object, which of these objects (sidetable, couch, heater, or table) is the closest to the basket?",A,"['A. sidetable', 'B. couch', 'C. heater', 'D. table']"
112,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.93,1.71,2.11,8.32,"Measuring from the closest point of each object, which of these objects (table, suitcase, couch, or heater) is the closest to the basket?",B,"['A. table', 'B. suitcase', 'C. couch', 'D. heater']"
113,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.95,1.71,8.32,"Measuring from the closest point of each object, which of these objects (paper bag, plant, table, or couch) is the closest to the basket?",A,"['A. paper bag', 'B. plant', 'C. table', 'D. couch']"
114,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.93,1.71,8.32,"Measuring from the closest point of each object, which of these objects (couch, table, suitcase, or paper bag) is the closest to the basket?",D,"['A. couch', 'B. table', 'C. suitcase', 'D. paper bag']"
115,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.4,0.95,1.71,8.32,"Measuring from the closest point of each object, which of these objects (couch, plant, table, or sidetable) is the closest to the basket?",D,"['A. couch', 'B. plant', 'C. table', 'D. sidetable']"
116,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.4,0.93,1.71,8.32,"Measuring from the closest point of each object, which of these objects (table, couch, sidetable, or suitcase) is the closest to the basket?",C,"['A. table', 'B. couch', 'C. sidetable', 'D. suitcase']"
117,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.67,0.95,2.11,"Measuring from the closest point of each object, which of these objects (heater, crate, plant, or paper bag) is the closest to the basket?",D,"['A. heater', 'B. crate', 'C. plant', 'D. paper bag']"
118,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.37,0.67,0.93,2.11,"Measuring from the closest point of each object, which of these objects (suitcase, paper bag, crate, or heater) is the closest to the basket?",B,"['A. suitcase', 'B. paper bag', 'C. crate', 'D. heater']"
119,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,0.37,0.67,2.11,8.32,"Measuring from the closest point of each object, which of these objects (crate, table, paper bag, or heater) is the closest to the basket?",C,"['A. crate', 'B. table', 'C. paper bag', 'D. heater']"
120,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,0.4,0.67,0.95,2.11,"Measuring from the closest point of each object, which of these objects (plant, crate, sidetable, or heater) is the closest to the basket?",C,"['A. plant', 'B. crate', 'C. sidetable', 'D. heater']"
