Possibility,Actor1,Actor2,Actor3,Actor4,Actor1_FirstFrame,Actor2_FirstFrame,Actor3_FirstFrame,Actor4_FirstFrame,Question,Answer,Options
428,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,0,48,152,210,"What will be the first-time appearance order of the following categories in the video: couch, heater, chair, window?",D,"['A. couch, window, chair, heater', 'B. chair, couch, heater, window', 'C. window, chair, heater, couch', 'D. heater, chair, couch, window']"
429,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,0,48,152,211,"What will be the first-time appearance order of the following categories in the video: chair, couch, shoesrack, heater?",C,"['A. couch, shoesrack, chair, heater', 'B. chair, shoesrack, couch, heater', 'C. heater, chair, couch, shoesrack', 'D. shoesrack, chair, heater, couch']"
430,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,48,152,223,"What will be the first-time appearance order of the following categories in the video: plant, heater, chair, couch?",B,"['A. heater, couch, chair, plant', 'B. heater, chair, couch, plant', 'C. couch, heater, chair, plant', 'D. couch, heater, plant, chair']"
431,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,48,152,225,"What will be the first-time appearance order of the following categories in the video: chair, heater, couch, bedstool?",B,"['A. chair, bedstool, heater, couch', 'B. heater, chair, couch, bedstool', 'C. heater, bedstool, chair, couch', 'D. heater, couch, bedstool, chair']"
432,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,48,152,234,"What will be the first-time appearance order of the following categories in the video: suitcase, heater, chair, couch?",B,"['A. suitcase, heater, chair, couch', 'B. heater, chair, couch, suitcase', 'C. couch, chair, suitcase, heater', 'D. couch, heater, suitcase, chair']"
433,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,48,152,245,"What will be the first-time appearance order of the following categories in the video: night stand, chair, heater, couch?",B,"['A. chair, couch, night stand, heater', 'B. heater, chair, couch, night stand', 'C. chair, night stand, heater, couch', 'D. night stand, chair, couch, heater']"
434,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,48,152,273,"What will be the first-time appearance order of the following categories in the video: couch, chair, heater, bed?",C,"['A. couch, bed, heater, chair', 'B. couch, heater, chair, bed', 'C. heater, chair, couch, bed', 'D. chair, heater, bed, couch']"
435,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,48,208,223,"What will be the first-time appearance order of the following categories in the video: plant, heater, coatrack, chair?",C,"['A. chair, heater, coatrack, plant', 'B. heater, plant, coatrack, chair', 'C. heater, chair, coatrack, plant', 'D. plant, heater, chair, coatrack']"
436,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,48,208,225,"What will be the first-time appearance order of the following categories in the video: heater, bedstool, chair, coatrack?",A,"['A. heater, chair, coatrack, bedstool', 'B. chair, coatrack, heater, bedstool', 'C. heater, chair, bedstool, coatrack', 'D. chair, heater, coatrack, bedstool']"
437,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,48,208,234,"What will be the first-time appearance order of the following categories in the video: suitcase, chair, coatrack, heater?",C,"['A. coatrack, suitcase, heater, chair', 'B. heater, suitcase, chair, coatrack', 'C. heater, chair, coatrack, suitcase', 'D. suitcase, coatrack, heater, chair']"
438,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,48,208,245,"What will be the first-time appearance order of the following categories in the video: chair, night stand, coatrack, heater?",A,"['A. heater, chair, coatrack, night stand', 'B. night stand, heater, chair, coatrack', 'C. night stand, chair, coatrack, heater', 'D. chair, coatrack, night stand, heater']"
439,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,48,208,273,"What will be the first-time appearance order of the following categories in the video: heater, bed, chair, coatrack?",B,"['A. chair, bed, coatrack, heater', 'B. heater, chair, coatrack, bed', 'C. coatrack, chair, bed, heater', 'D. bed, coatrack, heater, chair']"
440,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,48,210,223,"What will be the first-time appearance order of the following categories in the video: plant, chair, heater, window?",C,"['A. chair, window, heater, plant', 'B. window, chair, heater, plant', 'C. heater, chair, window, plant', 'D. window, heater, chair, plant']"
441,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,48,210,225,"What will be the first-time appearance order of the following categories in the video: chair, window, heater, bedstool?",A,"['A. heater, chair, window, bedstool', 'B. bedstool, heater, window, chair', 'C. heater, chair, bedstool, window', 'D. window, chair, bedstool, heater']"
442,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,48,210,234,"What will be the first-time appearance order of the following categories in the video: window, heater, chair, suitcase?",D,"['A. heater, chair, suitcase, window', 'B. window, chair, heater, suitcase', 'C. suitcase, chair, window, heater', 'D. heater, chair, window, suitcase']"
443,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,48,210,245,"What will be the first-time appearance order of the following categories in the video: window, chair, night stand, heater?",C,"['A. chair, night stand, heater, window', 'B. heater, night stand, window, chair', 'C. heater, chair, window, night stand', 'D. window, night stand, chair, heater']"
444,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,48,210,273,"What will be the first-time appearance order of the following categories in the video: chair, bed, heater, window?",D,"['A. window, heater, bed, chair', 'B. chair, window, bed, heater', 'C. bed, chair, heater, window', 'D. heater, chair, window, bed']"
445,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,48,211,223,"What will be the first-time appearance order of the following categories in the video: shoesrack, chair, plant, heater?",B,"['A. shoesrack, chair, heater, plant', 'B. heater, chair, shoesrack, plant', 'C. heater, shoesrack, chair, plant', 'D. plant, chair, heater, shoesrack']"
446,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,48,211,225,"What will be the first-time appearance order of the following categories in the video: chair, heater, bedstool, shoesrack?",C,"['A. shoesrack, heater, bedstool, chair', 'B. chair, shoesrack, heater, bedstool', 'C. heater, chair, shoesrack, bedstool', 'D. bedstool, chair, shoesrack, heater']"
447,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,48,211,234,"What will be the first-time appearance order of the following categories in the video: heater, shoesrack, suitcase, chair?",C,"['A. heater, suitcase, shoesrack, chair', 'B. shoesrack, suitcase, heater, chair', 'C. heater, chair, shoesrack, suitcase', 'D. chair, shoesrack, suitcase, heater']"
448,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,48,211,245,"What will be the first-time appearance order of the following categories in the video: shoesrack, chair, night stand, heater?",A,"['A. heater, chair, shoesrack, night stand', 'B. shoesrack, chair, night stand, heater', 'C. shoesrack, heater, chair, night stand', 'D. chair, night stand, shoesrack, heater']"
449,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,48,211,273,"What will be the first-time appearance order of the following categories in the video: chair, bed, heater, shoesrack?",B,"['A. bed, heater, shoesrack, chair', 'B. heater, chair, shoesrack, bed', 'C. bed, shoesrack, chair, heater', 'D. bed, heater, chair, shoesrack']"
450,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,48,223,234,"What will be the first-time appearance order of the following categories in the video: suitcase, plant, chair, heater?",A,"['A. heater, chair, plant, suitcase', 'B. suitcase, chair, heater, plant', 'C. suitcase, plant, heater, chair', 'D. heater, chair, suitcase, plant']"
451,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,48,223,245,"What will be the first-time appearance order of the following categories in the video: plant, chair, night stand, heater?",B,"['A. night stand, chair, heater, plant', 'B. heater, chair, plant, night stand', 'C. night stand, heater, plant, chair', 'D. chair, heater, night stand, plant']"
452,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,48,223,273,"What will be the first-time appearance order of the following categories in the video: bed, plant, heater, chair?",C,"['A. heater, chair, bed, plant', 'B. heater, bed, plant, chair', 'C. heater, chair, plant, bed', 'D. bed, heater, plant, chair']"
453,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,48,225,245,"What will be the first-time appearance order of the following categories in the video: night stand, heater, chair, bedstool?",A,"['A. heater, chair, bedstool, night stand', 'B. chair, night stand, bedstool, heater', 'C. chair, bedstool, heater, night stand', 'D. bedstool, chair, heater, night stand']"
454,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,48,225,273,"What will be the first-time appearance order of the following categories in the video: bedstool, bed, heater, chair?",C,"['A. chair, heater, bedstool, bed', 'B. chair, bed, bedstool, heater', 'C. heater, chair, bedstool, bed', 'D. bedstool, bed, heater, chair']"
455,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,48,234,245,"What will be the first-time appearance order of the following categories in the video: suitcase, chair, heater, night stand?",D,"['A. chair, night stand, suitcase, heater', 'B. night stand, suitcase, heater, chair', 'C. night stand, chair, suitcase, heater', 'D. heater, chair, suitcase, night stand']"
456,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,48,234,273,"What will be the first-time appearance order of the following categories in the video: bed, heater, suitcase, chair?",C,"['A. suitcase, bed, heater, chair', 'B. bed, chair, suitcase, heater', 'C. heater, chair, suitcase, bed', 'D. heater, suitcase, chair, bed']"
457,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,48,245,273,"What will be the first-time appearance order of the following categories in the video: heater, night stand, chair, bed?",A,"['A. heater, chair, night stand, bed', 'B. bed, chair, heater, night stand', 'C. night stand, heater, bed, chair', 'D. bed, night stand, chair, heater']"
458,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,0,58,68,152,"What will be the first-time appearance order of the following categories in the video: basket, heater, couch, sidetable?",C,"['A. couch, heater, sidetable, basket', 'B. basket, couch, sidetable, heater', 'C. heater, basket, sidetable, couch', 'D. couch, basket, heater, sidetable']"
459,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,0,58,68,208,"What will be the first-time appearance order of the following categories in the video: heater, coatrack, sidetable, basket?",A,"['A. heater, basket, sidetable, coatrack', 'B. sidetable, basket, heater, coatrack', 'C. heater, basket, coatrack, sidetable', 'D. heater, sidetable, coatrack, basket']"
460,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,0,58,68,210,"What will be the first-time appearance order of the following categories in the video: window, sidetable, basket, heater?",D,"['A. sidetable, window, heater, basket', 'B. basket, heater, sidetable, window', 'C. window, sidetable, basket, heater', 'D. heater, basket, sidetable, window']"
461,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,0,58,68,211,"What will be the first-time appearance order of the following categories in the video: heater, sidetable, shoesrack, basket?",A,"['A. heater, basket, sidetable, shoesrack', 'B. shoesrack, sidetable, basket, heater', 'C. sidetable, basket, heater, shoesrack', 'D. heater, sidetable, basket, shoesrack']"
462,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,58,68,223,"What will be the first-time appearance order of the following categories in the video: sidetable, basket, plant, heater?",B,"['A. basket, heater, sidetable, plant', 'B. heater, basket, sidetable, plant', 'C. sidetable, plant, heater, basket', 'D. plant, basket, heater, sidetable']"
463,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,58,68,225,"What will be the first-time appearance order of the following categories in the video: heater, sidetable, basket, bedstool?",A,"['A. heater, basket, sidetable, bedstool', 'B. heater, bedstool, basket, sidetable', 'C. heater, basket, bedstool, sidetable', 'D. bedstool, basket, heater, sidetable']"
464,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,58,68,234,"What will be the first-time appearance order of the following categories in the video: suitcase, heater, sidetable, basket?",B,"['A. heater, basket, suitcase, sidetable', 'B. heater, basket, sidetable, suitcase', 'C. heater, sidetable, suitcase, basket', 'D. basket, suitcase, heater, sidetable']"
465,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,58,68,245,"What will be the first-time appearance order of the following categories in the video: sidetable, basket, heater, night stand?",B,"['A. basket, sidetable, night stand, heater', 'B. heater, basket, sidetable, night stand', 'C. sidetable, basket, heater, night stand', 'D. heater, sidetable, basket, night stand']"
466,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,58,68,273,"What will be the first-time appearance order of the following categories in the video: basket, heater, sidetable, bed?",B,"['A. sidetable, bed, basket, heater', 'B. heater, basket, sidetable, bed', 'C. basket, heater, bed, sidetable', 'D. sidetable, bed, heater, basket']"
467,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,0,58,152,208,"What will be the first-time appearance order of the following categories in the video: basket, couch, heater, coatrack?",D,"['A. heater, basket, coatrack, couch', 'B. basket, coatrack, heater, couch', 'C. coatrack, couch, basket, heater', 'D. heater, basket, couch, coatrack']"
468,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,0,58,152,210,"What will be the first-time appearance order of the following categories in the video: basket, couch, window, heater?",A,"['A. heater, basket, couch, window', 'B. heater, couch, basket, window', 'C. couch, heater, window, basket', 'D. couch, basket, heater, window']"
469,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,0,58,152,211,"What will be the first-time appearance order of the following categories in the video: shoesrack, basket, couch, heater?",C,"['A. basket, heater, shoesrack, couch', 'B. shoesrack, heater, basket, couch', 'C. heater, basket, couch, shoesrack', 'D. heater, shoesrack, basket, couch']"
470,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,58,152,223,"What will be the first-time appearance order of the following categories in the video: heater, plant, basket, couch?",A,"['A. heater, basket, couch, plant', 'B. plant, couch, basket, heater', 'C. basket, heater, couch, plant', 'D. heater, plant, basket, couch']"
471,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,58,152,225,"What will be the first-time appearance order of the following categories in the video: heater, bedstool, basket, couch?",D,"['A. bedstool, couch, basket, heater', 'B. bedstool, basket, couch, heater', 'C. couch, bedstool, heater, basket', 'D. heater, basket, couch, bedstool']"
